,Country Name,Code,Year,civlib_eiu,gdp_per_capita,life_expectancy
0,Afghanistan,AFG,2021,0.29,14583135236.5744,61.982
1,Albania,ALB,2021,7.06,17930565118.8176,76.463
2,Algeria,DZA,2021,3.82,163472233245.77,76.377
3,Angola,AGO,2021,2.65,65685435100.4986,61.643
4,Argentina,ARG,2021,7.65,487227125385.641,75.39
5,Armenia,ARM,2021,5.0,13861409968.835,72.043
6,Australia,AUS,2021,9.41,1552703151616.01,83.3
7,Austria,AUT,2021,8.24,480368403893.364,81.2390243902439
8,Azerbaijan,AZE,2021,2.65,54825411764.7059,69.366
9,Bahrain,BHR,2021,1.76,39303403989.3617,78.76
10,Bangladesh,BGD,2021,5.29,416264802185.166,72.381
11,Belarus,BLR,2021,1.76,69673747131.87,72.3706829268293
12,Belgium,BEL,2021,8.24,594351961634.487,81.890243902439
13,Benin,BEN,2021,4.41,17690083519.9322,59.821
14,Bhutan,BTN,2021,4.71,2539551327.48291,71.815
15,"Bolivia, Plurinational State of",BOL,2021,5.59,40408208523.8784,63.63
16,Bosnia and Herzegovina,BIH,2021,5.59,23649566069.2355,75.3
17,Botswana,BWA,2021,8.53,18737066306.9659,61.141
18,Brazil,BRA,2021,7.65,1649622972159.35,72.75
19,Bulgaria,BGR,2021,7.06,84061395658.221,71.5146341463415
20,Burkina Faso,BFA,2021,3.82,19737616003.022,59.27
21,Burundi,BDI,2021,1.76,2775798697.16485,61.663
22,Cambodia,KHM,2021,1.76,26961061152.2979,69.584
23,Cameroon,CMR,2021,2.06,45338285386.1044,60.333
24,Canada,CAN,2021,9.12,2001486745423.92,82.5966097560976
25,Central African Republic,CAF,2021,2.35,2516498412.31361,53.895
26,Chad,TCD,2021,2.35,11779981332.1599,52.525
27,Chile,CHL,2021,9.12,316713577508.673,78.944
28,China,CHN,2021,0.88,17820459342451.2,78.211
29,Colombia,COL,2021,7.65,318511813576.972,72.83
30,Comoros,COM,2021,3.53,1296089479.45824,63.417
31,Costa Rica,CRI,2021,9.71,64616482167.7475,77.023
32,Cote d'Ivoire,CIV,2021,3.82,71811075954.676,58.598
33,Croatia,HRV,2021,6.76,68843674641.2112,76.4243902439025
34,Cuba,CUB,2021,2.65,,73.683
35,Cyprus,CYP,2021,8.53,28408064462.1856,81.203
36,Czechia,CZE,2021,8.53,281791218507.1,77.3731707317073
37,Denmark,DNK,2021,8.82,398303272764.46,81.4048780487805
38,Djibouti,DJI,2021,2.35,3372287461.80812,62.305
39,Dominican Republic,DOM,2021,7.06,94243426487.0833,72.615
40,Ecuador,ECU,2021,6.18,106165866000.0,73.67
41,El Salvador,SLV,2021,6.18,29451240000.0,70.748
42,Equatorial Guinea,GNQ,2021,1.47,12269393392.1579,60.594
43,Eritrea,ERI,2021,0.59,,66.536
44,Estonia,EST,2021,8.24,37191166151.98,76.7414634146342
45,Eswatini,SWZ,2021,3.24,4748702400.66283,57.066
46,Ethiopia,ETH,2021,1.76,111261882913.342,64.975
47,Fiji,FJI,2021,5.29,4296235427.52339,67.114
