Country,Date,GDP per Capita,Life Expectancy
Netherlands,2022-01-01 00:00:00,70861.366489,80.3
Austria,2022-01-01 00:00:00,67792.406005,81.1
Portugal,2022-01-01 00:00:00,42313.130693,84.5
Norway,2022-01-01 00:00:00,114932.192428,84.2
Spain,2022-01-01 00:00:00,46490.547319,85.9
Belgium,2022-01-01 00:00:00,65509.386133,83.9
Slovakia,2022-01-01 00:00:00,37067.28435,80.6
Sweden,2022-01-01 00:00:00,65156.950747,84.8
Switzerland,2022-01-01 00:00:00,84593.018629,85.4
Lithuania,2022-01-01 00:00:00,48860.743439,76.0
Luxembourg,2022-01-01 00:00:00,140150.398233,85.3
Hungary,2022-01-01 00:00:00,41565.507721,79.5
Germany,2022-01-01 00:00:00,63521.899276,80.7
Latvia,2022-01-01 00:00:00,39680.779825,79.6
Poland,2022-01-01 00:00:00,42961.752668,81.3
Iceland,2022-01-01 00:00:00,69616.051554,83.4
Costa Rica,2022-01-01 00:00:00,24776.739003,83.5
France,2022-01-01 00:00:00,54988.881441,79.4
Bulgaria,2022-01-01 00:00:00,34074.535136,70.8
South Africa,2022-01-01 00:00:00,15953.4746,65.0
Slovenia,2022-01-01 00:00:00,48361.944853,84.1
Croatia,2022-01-01 00:00:00,40179.649379,77.7
Finland,2022-01-01 00:00:00,59461.616223,83.8
Italy,2022-01-01 00:00:00,52802.956093,85.0
Israel,2022-01-01 00:00:00,49788.625702,84.9
Indonesia,2022-01-01 00:00:00,14395.433172,65.5
Denmark,2022-01-01 00:00:00,74859.416551,79.5
Romania,2022-01-01 00:00:00,41605.309038,79.3
Estonia,2022-01-01 00:00:00,47152.179753,82.4
Greece,2022-01-01 00:00:00,36574.04193,83.3
Colombia,2022-01-01 00:00:00,20822.147787,80.1
Czechia,2022-01-01 00:00:00,49122.317085,76.2
China,2022-01-01 00:00:00,21314.467779,81.2
Chile,2022-01-01 00:00:00,29866.277169,84.0
