"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2018",53118.792237,
"AUS","GDP","TOT","USD_CAP","A","2019",52921.968891,
"AUS","GDP","TOT","USD_CAP","A","2020",56000.130076,
"AUS","GDP","TOT","USD_CAP","A","2021",62745.388207,
"AUS","GDP","TOT","USD_CAP","A","2022",69418.944207,
"AUT","GDP","TOT","USD_CAP","A","2018",56956.110562,
"AUT","GDP","TOT","USD_CAP","A","2019",59716.251399,
"AUT","GDP","TOT","USD_CAP","A","2020",57235.673886,
"AUT","GDP","TOT","USD_CAP","A","2021",59857.431692,
"AUT","GDP","TOT","USD_CAP","A","2022",67792.406005,
"BEL","GDP","TOT","USD_CAP","A","2018",52530.381806,
"BEL","GDP","TOT","USD_CAP","A","2019",55804.725289,
"BEL","GDP","TOT","USD_CAP","A","2020",54652.164337,
"BEL","GDP","TOT","USD_CAP","A","2021",59479.895839,
"BEL","GDP","TOT","USD_CAP","A","2022",65509.386133,"P"
"CAN","GDP","TOT","USD_CAP","A","2018",49992.811418,
"CAN","GDP","TOT","USD_CAP","A","2019",49832.414539,
"CAN","GDP","TOT","USD_CAP","A","2020",47226.357276,
"CAN","GDP","TOT","USD_CAP","A","2021",53023.405782,
"CAN","GDP","TOT","USD_CAP","A","2022",58347.676945,
"CZE","GDP","TOT","USD_CAP","A","2018",41157.370409,
"CZE","GDP","TOT","USD_CAP","A","2019",44223.295751,
"CZE","GDP","TOT","USD_CAP","A","2020",42817.867499,
"CZE","GDP","TOT","USD_CAP","A","2021",44813.002627,
"CZE","GDP","TOT","USD_CAP","A","2022",49122.317085,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",59884.11738,
"DNK","GDP","TOT","USD_CAP","A","2020",60768.060489,
"DNK","GDP","TOT","USD_CAP","A","2021",66117.728509,
"DNK","GDP","TOT","USD_CAP","A","2022",74859.416551,
"FIN","GDP","TOT","USD_CAP","A","2018",49573.255773,
"FIN","GDP","TOT","USD_CAP","A","2019",51811.599332,
"FIN","GDP","TOT","USD_CAP","A","2020",52294.342491,
"FIN","GDP","TOT","USD_CAP","A","2021",54773.513718,
"FIN","GDP","TOT","USD_CAP","A","2022",59461.616223,
"FRA","GDP","TOT","USD_CAP","A","2018",46336.933985,
"FRA","GDP","TOT","USD_CAP","A","2019",50226.680167,
"FRA","GDP","TOT","USD_CAP","A","2020",47982.359606,
"FRA","GDP","TOT","USD_CAP","A","2021",51023.082095,"P"
"FRA","GDP","TOT","USD_CAP","A","2022",54988.881441,"P"
"DEU","GDP","TOT","USD_CAP","A","2018",55195.722049,
"DEU","GDP","TOT","USD_CAP","A","2019",57411.520685,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",56454.181109,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",59055.316879,"P"
"DEU","GDP","TOT","USD_CAP","A","2022",63521.899276,"P"
"GRC","GDP","TOT","USD_CAP","A","2018",29617.518625,
"GRC","GDP","TOT","USD_CAP","A","2019",31155.301081,
"GRC","GDP","TOT","USD_CAP","A","2020",28349.491127,
"GRC","GDP","TOT","USD_CAP","A","2021",31267.149353,"P"
"GRC","GDP","TOT","USD_CAP","A","2022",36574.04193,"P"
"HUN","GDP","TOT","USD_CAP","A","2018",31908.863431,
"HUN","GDP","TOT","USD_CAP","A","2019",34645.565383,
"HUN","GDP","TOT","USD_CAP","A","2020",34169.922355,
"HUN","GDP","TOT","USD_CAP","A","2021",36735.9098,
"HUN","GDP","TOT","USD_CAP","A","2022",41565.507721,"P"
"ISL","GDP","TOT","USD_CAP","A","2018",57201.173335,
"ISL","GDP","TOT","USD_CAP","A","2019",59644.706533,
"ISL","GDP","TOT","USD_CAP","A","2020",54330.385248,
"ISL","GDP","TOT","USD_CAP","A","2021",58297.108148,
"ISL","GDP","TOT","USD_CAP","A","2022",69616.051554,
"IRL","GDP","TOT","USD_CAP","A","2018",85034.728547,
"IRL","GDP","TOT","USD_CAP","A","2019",89759.238887,
"IRL","GDP","TOT","USD_CAP","A","2020",94646.640757,
"IRL","GDP","TOT","USD_CAP","A","2021",108831.365241,
"IRL","GDP","TOT","USD_CAP","A","2022",127146.265184,
"ITA","GDP","TOT","USD_CAP","A","2018",43427.663143,
"ITA","GDP","TOT","USD_CAP","A","2019",45799.741922,
"ITA","GDP","TOT","USD_CAP","A","2020",43150.115981,
"ITA","GDP","TOT","USD_CAP","A","2021",47591.832142,
"ITA","GDP","TOT","USD_CAP","A","2022",52802.956093,
"JPN","GDP","TOT","USD_CAP","A","2018",42264.585123,
"JPN","GDP","TOT","USD_CAP","A","2019",42427.125075,
"JPN","GDP","TOT","USD_CAP","A","2020",41867.153393,
"JPN","GDP","TOT","USD_CAP","A","2021",42895.146536,
"JPN","GDP","TOT","USD_CAP","A","2022",45648.781715,"E"
"KOR","GDP","TOT","USD_CAP","A","2018",43044.340145,
"KOR","GDP","TOT","USD_CAP","A","2019",43410.152957,
"KOR","GDP","TOT","USD_CAP","A","2020",44694.939796,
"KOR","GDP","TOT","USD_CAP","A","2021",47068.423631,
"KOR","GDP","TOT","USD_CAP","A","2022",50330.65223,"P"
"LUX","GDP","TOT","USD_CAP","A","2018",116334.724739,
"LUX","GDP","TOT","USD_CAP","A","2019",119364.151427,
"LUX","GDP","TOT","USD_CAP","A","2020",119407.898814,
"LUX","GDP","TOT","USD_CAP","A","2021",131430.737036,
"LUX","GDP","TOT","USD_CAP","A","2022",140150.398233,
"MEX","GDP","TOT","USD_CAP","A","2018",20561.246895,
"MEX","GDP","TOT","USD_CAP","A","2019",20244.557477,
"MEX","GDP","TOT","USD_CAP","A","2020",18465.575374,"P"
"MEX","GDP","TOT","USD_CAP","A","2021",19438.782132,"P"
"MEX","GDP","TOT","USD_CAP","A","2022",21442.194064,"E"
"NLD","GDP","TOT","USD_CAP","A","2018",57825.399708,
"NLD","GDP","TOT","USD_CAP","A","2019",60207.9957,
"NLD","GDP","TOT","USD_CAP","A","2020",59821.266235,
"NLD","GDP","TOT","USD_CAP","A","2021",64488.958411,"P"
"NLD","GDP","TOT","USD_CAP","A","2022",70861.366489,"P"
"NZL","GDP","TOT","USD_CAP","A","2018",42320.906448,
"NZL","GDP","TOT","USD_CAP","A","2019",45518.307468,
"NZL","GDP","TOT","USD_CAP","A","2020",45457.178769,
"NZL","GDP","TOT","USD_CAP","A","2021",47981.692244,
"NZL","GDP","TOT","USD_CAP","A","2022",51635.654488,"E"
"NOR","GDP","TOT","USD_CAP","A","2018",70252.735449,
"NOR","GDP","TOT","USD_CAP","A","2019",69915.01766,
"NOR","GDP","TOT","USD_CAP","A","2020",65135.920669,
"NOR","GDP","TOT","USD_CAP","A","2021",81871.642989,
"NOR","GDP","TOT","USD_CAP","A","2022",114932.192428,
"POL","GDP","TOT","USD_CAP","A","2018",31662.210541,
"POL","GDP","TOT","USD_CAP","A","2019",34592.873746,
"POL","GDP","TOT","USD_CAP","A","2020",34896.8226,
"POL","GDP","TOT","USD_CAP","A","2021",37825.969449,
"POL","GDP","TOT","USD_CAP","A","2022",42961.752668,"B"
"PRT","GDP","TOT","USD_CAP","A","2018",34928.61899,
"PRT","GDP","TOT","USD_CAP","A","2019",37299.182306,
"PRT","GDP","TOT","USD_CAP","A","2020",34955.61156,
"PRT","GDP","TOT","USD_CAP","A","2021",36971.269095,
"PRT","GDP","TOT","USD_CAP","A","2022",42313.130693,"P"
"SVK","GDP","TOT","USD_CAP","A","2018",31374.187996,
"SVK","GDP","TOT","USD_CAP","A","2019",33459.324263,
"SVK","GDP","TOT","USD_CAP","A","2020",32912.709886,
